au_cricos,name,latitude,longitude,short_name,website,country,note
10001005,Bury College,53.58935,-2.294548,BURYCOLLEGE,http://www.burycollege.ac.uk,UK,
10001093,Calderdale College,53.719807,-1.879359,CALDERDALE,http://www.calderdale.ac.uk,UK,
10001143,Canterbury Christ Church University,51.219857,0.9522,CANTERBURY,http://www.canterbury.ac.uk,UK,"Campuses: ABDO College, Medway, Canterbury"
10001165,Cardinal Newman College,53.757121,-2.688866,CARDINALNEWMAN,http://www.cardinalnewman.ac.uk,UK,
10001282,University Of Northumbria At Newcastle,54.976976,-1.607461,NORTHUMBRIA,http://www.northumbria.ac.uk,UK,
10001378,Chesterfield College,53.240274,-1.425046,CHESTERFIELD,http://www.chesterfield.ac.uk,UK,
10001386,Chicken Shed Theatre Company,51.644382,-0.145429,,http://www.chickenshed.org.uk,UK,
10001465,Bath College,51.380174,-2.3628,BATHCOLLEGE,http://www.bathcollege.ac.uk,UK,
10001467,City Of Bristol College,51.447951,-2.582264,CITYOFBRISTOL,http://www.cityofbristol.ac.uk,UK,"Campuses: dBs Music, Parkway, Hamilton House, College Green, Ashley Down Centre"
10001475,Sunderland College,54.923037,-1.522972,SUNDERLANDCOLLEGE,http://www.sunderlandcollege.ac.uk,UK,"Campuses: Washington Campus, City Campus, Bede Campus"
10001476,United Colleges Group,51.555854,-0.244584,CNWL,http://www.cnwl.ac.uk,UK,"Campuses: Willesden Campus, Paddington Green Campus"
10001478,"City, University Of London",51.527287,-0.103842,CITY,http://www.city.ac.uk,UK,
10001503,The Northern School Of Art,54.685418,-1.209826,CCAD,http://www.ccad.ac.uk,UK,
10001535,Colchester Institute,51.893528,0.888604,COLCHESTER,http://www.colchester.ac.uk,UK,
10001546,College of Integrated Chinese Medicine,51.453395,-0.974575,,http://www.acupuncturecollege.org.uk,UK,
10001653,The Conservatoire For Dance And Drama,51.490582,-0.21418,CDD,http://www.cdd.ac.uk,UK,"Campuses: London Academy of Music and Dramatic Arts, Northern School of Contemporary Dance, The National Centre for Circus Arts, Central School of Ballet, Rambert School of Ballet and Contemporary Dance, Royal Academy of Dramatic Art, London Contemporary Dance School, Bristol Old Vic Theatre School"
10001696,Cornwall College,50.445803,-4.832948,CORNWALL,http://www.cornwall.ac.uk,UK,"Campuses: Duchy College - Stoke Climsland, Duchy College - Rosewarne, Cornwall College Newquay, Eden Project, Cornwall College Saltash, Cornwall College Camborne, Falmouth Marine School, Bicton College"
10001726,Coventry University,52.408016,-1.505713,COVENTRY,http://www.coventry.ac.uk,UK,"Campuses: Coventry Campus, Scarborough Campus, London Campus, East London Campus"
10001743,Craven College,53.86584,-1.66362,CRAVEN-COLLEGE,http://www.craven-college.ac.uk,UK,"Campuses: Leeds Bradford Airport, Aireville Campus"
10001778,Croydon College,51.373907,-0.09456,CROYDON,http://www.croydon.ac.uk,UK,
10001883,De Montfort University,52.62949,-1.138028,DMU,http://www.dmu.ac.uk,UK,
10001919,Derby College,52.916014,-1.458985,DERBY-COLLEGE,http://www.derby-college.ac.uk,UK,"Campuses: Roundhouse, Joseph Wright Centre, Broomfield Hall"
10002061,Central Bedfordshire College,51.890763,-0.518838,CENTRALBEDS,http://www.centralbeds.ac.uk,UK,
10002094,"Ealing, Hammersmith & West London College",51.491865,-0.214029,WLC,http://www.wlc.ac.uk,UK,
10002107,The Windsor Forest Colleges Group,51.478149,-0.613046,EASTBERKS,http://www.eastberks.ac.uk/,UK,"Campuses: Windsor College, Strodes College, Langley College"
10002126,East Riding College,54.091842,-0.196872,EASTRIDINGCOLLEGE,http://www.eastridingcollege.ac.uk,UK,"Campuses: St Marys Walk, St James Centre, Flemingate Campus"
10002130,East Surrey College,51.25367,-0.162956,ESC,http://www.esc.ac.uk,UK,
10002143,Eastleigh College,50.961516,-1.358394,EASTLEIGH,http://www.eastleigh.ac.uk,UK,
10002344,European School of Osteopathy,51.305512,0.544507,ESO,http://www.eso.ac.uk,UK,
10002370,Exeter College,50.728345,-3.538561,EXE-COLL,http://www.exe-coll.ac.uk,UK,
10002412,Farnborough College Of Technology,51.285433,-0.75119,FARN-CT,http://www.farn-ct.ac.uk,UK,
10002599,Furness College,54.115857,-3.24223,FURNESS,http://www.furness.ac.uk,UK,
10002638,Gateshead College,54.928386,-1.617753,GATESHEAD,http://www.gateshead.ac.uk,UK,"Campuses: Team Valley, Skills Academy for Sustainable Manufacturing and Innovation (SASMI), Baltic Campus"
10002681,Glasgow School Of Art.,55.86618,-4.263741,GSA,http://www.gsa.ac.uk,UK,
10002696,Gloucestershire College,51.812663,-2.616842,GLOSCOL,http://www.gloscol.ac.uk,UK,"Campuses: Five Acres Campus, Gloucester Campus, Cheltenham Campus"
10002718,"Goldsmiths, University of London",51.474143,-0.035401,GOLD,http://www.gold.ac.uk,UK,
10002743,Grantham College,52.91258,-0.635469,GRANTHAM,http://www.grantham.ac.uk,UK,
10002815,Guildford College,51.272615,-0.621822,GUILDFORD,http://www.guildford.ac.uk,UK,"Campuses: Merrist Wood, Stoke Park Campus"
10002843,Hadlow College,51.467359,0.080066,HADLOW,http://www.hadlow.ac.uk,UK,"Campuses: Greenwich, Hadlow"
10002852,Halesowen College,52.456376,-2.052598,HALESOWEN,http://www.halesowen.ac.uk,UK,
10002863,Riverside College Halton,53.364323,-2.734405,RIVERSIDE,http://www.riverside.ac.uk,UK,"Campuses: Kingsway Campus, Cronton Campus"
10002899,Harlow College,51.76927,0.098151,HARLOW-COLLEGE,http://www.harlow-college.ac.uk,UK,
10002919,Hartpury College,51.904922,-2.310254,HARTPURY,http://www.hartpury.ac.uk,UK,
10002923,East Sussex College Group,50.868031,0.548295,SUSSEXCOAST,http://www.sussexcoast.ac.uk,UK,"Campuses: Station Plaza, Lewes Campus, Eastbourne Campus"
10002935,Havering College Of Further And Higher Education,51.613142,0.229824,HAVERING-COLLEGE,http://www.havering-college.ac.uk,UK,"Campuses: Quarles, Ardleigh Green"
10003010,Coventry College,52.433222,-1.469068,COVENTRYCOLLEGE,http://www.coventrycollege.ac.uk,UK,"Campuses: Henley Campus, City Campus"
10003022,Hereford College Of Arts,52.067842,-2.707524,HCA,http://www.hca.ac.uk,UK,
10003023,Herefordshire And Ludlow College,52.061892,-2.698567,HLCOLLEGE,http://www.hlcollege.ac.uk,UK,
10003035,Hertford Regional College,51.807116,0.031972,HRC,http://www.hrc.ac.uk,UK,"Campuses: Ware Campus, Broxbourne Campus"
10003146,Hopwood Hall College,53.56912,-2.1887,HOPWOOD,http://www.hopwood.ac.uk,UK,"Campuses: MIddleton Campus, Rochdale Campus"
10003193,Hugh Baird College,53.445072,-2.989404,HUGHBAIRD,http://www.hughbaird.ac.uk,UK,
10003200,Hull College Group,53.746537,-0.332201,HULL-COLLEGE,http://www.hull-college.ac.uk,UK,
10003239,ICON College of Technology & Management,51.515495,-0.06755,,http://www.iconcollege.com,UK,
10003270,Imperial College London,51.500505,-0.178219,IMPERIAL,http://www.imperial.ac.uk,UK,
10003331,Regent's University London,51.525645,-0.15563,,http://su.regents.ac.uk,UK,
10003406,Isle Of Wight College,50.076342,-1.296961,IWCOLLEGE,http://www.iwcollege.ac.uk,UK,"Campuses: Isle of Wight College, CECAMM Isle of Wight College"
10003511,Joseph Chamberlain Sixth Form College,52.461384,-1.883925,,https://connect.jcc.ac.uk/,UK,
10003558,Kendal College,54.317642,-2.747167,KENDAL,http://www.kendal.ac.uk,UK,
10003566,Kensington College of Business,51.5174,-0.1442,KENSINGTONCOLL,http://www.kensingtoncoll.ac.uk,UK,
10003614,University Of Winchester,51.060202,-1.325926,WINCHESTER,http://www.winchester.ac.uk,UK,
10003645,King's College London,51.504642,-0.08899,KCL,http://www.kcl.ac.uk,UK,"Campuses: Guy's Campus, Denmark Hill Campus, Central London"
10003674,South Thames Colleges Group,51.456208,-0.189953,KINGSTON-COLLEGE,http://www.kingston-college.ac.uk,UK,"Campuses: South Thames College, Kingston College, Carshalton College"
10003676,Kingston Maurward College,50.71945,-2.397594,KMC,http://www.kmc.ac.uk,UK,
10003678,Kingston University,51.246075,-0.569872,KINGSTON,http://www.kingston.ac.uk,UK,"Campuses: Guildford College, Bournemouth Commercial Flight Training Centre, Whitefield Schools and Centre, Building Crafts College, Newham Training and Education Centre (NEWTEC), Marshall Aerospace and Defence Group, Kensington and Chelsea College, KLM UK Engineering, Kingston University"
10003753,Lakes College West Cumbria,54.60648,-3.531818,LCWC,http://www.lcwc.ac.uk,UK,
10003854,Leeds Arts University,53.808429,-1.551733,LEEDS-ART,http://www.leeds-art.ac.uk,UK,
10003855,Leeds College Of Building,53.802952,1.53522,LCB,http://www.lcb.ac.uk,UK,
10003861,Leeds Beckett University,53.827442,-1.593261,LEEDSBECKETT,http://www.leedsbeckett.ac.uk,UK,"Campuses: Headingley Campus, Leeds City Campus"
10003863,Leeds Trinity University,53.848558,-1.648096,LEEDSTRINITY,http://www.leedstrinity.ac.uk,UK,
10003867,Leicester College,52.643993,-1.127936,LEICESTERCOLLEGE,http://www.leicestercollege.ac.uk,UK,
10003928,Lincoln College,53.231287,-0.533905,LINCOLNCOLLEGE,http://www.lincolncollege.ac.uk,UK,
10003945,LIPA,53.399645,-2.972062,LIPA,http://www.lipa.ac.uk,UK,
10003955,The City Of Liverpool College,53.414915,-2.990227,LIV-COLL,http://www.liv-coll.ac.uk,UK,"Campuses: Vauxhall Road, City Centre"
10003956,Liverpool Hope University,53.584917,-2.298896,HOPE,http://www.hope.ac.uk,UK,"Campuses: Holy Cross College, St Mary's College, Liverpool Hope - Hope Park, Carmel College, Liverpool Hope - Creative Campus"
10003957,Liverpool John Moores University,53.405128,-2.972516,LJMU,http://www.ljmu.ac.uk,UK,"Campuses: City Centre Campus, IM Marsh Campus, Greenbank"
10004048,London Metropolitan University,51.513277,-0.152546,LONDONMET,http://www.londonmet.ac.uk,UK,"Campuses: Partner College: Montessori Centre International, Partner College: Lambeth College, Partner College: Hackney Community College, Partner College: British Institute of Technology, Moorgate Site, Holloway Site, Aldgate Site"
10004061,Bloomsbury Institute,51.522398,-0.131679,BIL,http://www.bil.ac.uk,UK,
10004063,The London School Of Economics And Political Science,51.513636,-0.116773,LSE,http://www.lse.ac.uk,UK,"Campuses: Houghton Street, London"
10004075,London School Of Theology,51.612946,-0.43175,LST,http://www.lst.ac.uk,UK,
10004078,London South Bank University,51.49885,-0.10182,LSBU,http://www.lsbu.ac.uk,UK,"Campuses: Southwark Campus, Havering Campus"
10004079,London Studio Centre,51.612961,-0.17632,,http://www.londonstudiocentre.org,UK,
10004112,Loughborough College,52.76747,-1.22046,LOUCOLL,http://www.loucoll.ac.uk,UK,
10004113,Loughborough University,52.768455,-1.228838,LBORO,http://www.lboro.ac.uk,UK,
10004144,Macclesfield College,53.251242,-2.13815,MACCLESFIELD,http://www.macclesfield.ac.uk,UK,
10004180,Manchester Metropolitan University,53.485204,-2.201056,MMU,http://www.mmu.ac.uk,UK,"Campuses: Manchester City FC Etihad Campus, University of Manchester/MMU, Cheshire Campus, Manchester Campus"
10004320,The Metanoia Institute,51.512626,-0.293576,METANOIA,http://www.metanoia.ac.uk,UK,
10004340,MidKent College,51.393715,0.541493,MIDKENT,http://www.midkent.ac.uk,UK,"Campuses: Medway Campus, Maidstone Campus"
10004344,Middlesbrough College,54.57623,-1.23483,MBRO,http://www.mbro.ac.uk,UK,
10004351,Middlesex University,56.455641,-2.997222,MDX,http://www.mdx.ac.uk,UK,"Campuses: Tayside Aviation, Royal Free Hospital, Hendon Campus, Helicentre Aviation, CTC Aviation, College of Animal Welfare, Allianz Park"
10004365,Millennium Performing Arts Ltd.,51.490547,0.066039,,http://www.md2000.co.uk,UK,
10004375,Milton Keynes College,52.038309,-0.769209,MKCOLLEGE,http://www.mkcollege.ac.uk,UK,"Campuses: Silbury Campus, Bletchley Campus"
10004432,Morley College,51.498045,-0.109772,MORLEYCOLLEGE,http://www.morleycollege.ac.uk,UK,
10004442,Moulton College,52.28997,0.857741,MOULTON,http://www.moulton.ac.uk,UK,
10004450,Mountview Academy of Theatre Arts,51.474384,-0.069375,,http://www.mountview.org.uk,UK,
10004478,Myerscough College,53.7616,-2.708473,MYERSCOUGH,http://www.myerscough.ac.uk,UK,"Campuses: University of Central Lancashire, Main Campus, Bilsborrow"
10004538,Nazarene Theological College,53.416298,-2.241611,NAZARENE,http://www.nazarene.ac.uk,UK,"Campuses: Didsbury, Manchester"
10004552,Nelson And Colne College,53.8445,-2.2199,NELSON,http://www.nelson.ac.uk,UK,
10004576,New College Durham,54.795722,1.59513,NEWCOLLEGEDURHAM,http://www.newcollegedurham.ac.uk,UK,
10004577,Nottingham College,52.936734,-1.186949,NCN,http://www.ncn.ac.uk,UK,"Campuses: Highfields Centre, Clifton Centre, Basford Hall, Beeston Centre, Adams, Clarendon"
10004579,New College Swindon,51,1,NEWCOLLEGE,http://www.newcollege.ac.uk,UK,
10004596,Newbury College,51.382452,-1.322942,NEWBURY-COLLEGE,http://www.newbury-college.ac.uk,UK,
10004599,Newcastle College,51.503071,-0.107303,,http://www.ncgrp.co.uk,UK,"Campuses: Southwark Campus, Main Campus, Kidderminster College, Energy Academy, Carlisle College, Aviation Academy"
10004607,Newham College Of Further Education,51.54017,0.009707,NEWHAM,http://www.newham.ac.uk,UK,"Campuses: Newham College University Centre, East Ham Campus"
10004676,Petroc,51.072522,-4.068891,PETROC,http://www.petroc.ac.uk,UK,"Campuses: North Devon Campus, Mid Devon Campus, Brannams Campus"
10004686,North East Surrey College Of Technology (Nescot),53.540679,-2.106615,NESCOT,http://www.nescot.ac.uk,UK,"Campuses: North East Surrey College of Technology (Oldham Campus), North East Surrey College of Technology"
10004695,North Lindsey College,53.529021,-1.135603,DON,http://www.don.ac.uk,UK,"Campuses: University Centre Doncaster, North Lindsey College"
10004718,North Warwickshire And South Leicestershire College,52.576586,-1.132816,NWHC,http://www.nwhc.ac.uk,UK,"Campuses: South Wigston Campus, Nuneaton Campus, Hinckley Campus"
10004721,North Kent College,51.431954,0.204027,NWKCOLLEGE,http://www.nwkcollege.ac.uk,UK,
10004736,Greater Brighton Metropolitan College,50.824134,-0.101433,GBMC.,https://www.gbmc.ac.uk/brighto,UK,"Campuses: Brighton East, Brighton Central, West Durrington, Shoreham Airport, Broadwater"
10004740,Northern College Of Acupuncture,53.957108,-1.088156,,http://www.chinese-medicine.co.uk,UK,
10004760,Northumberland College,54.970777,-2.102193,NORTHUMBERLAND,http://www.northumberland.ac.uk,UK,"Campuses: Northumberland College - Hexham Campus, Northumberland College - Berwick Campus, Northumberland College - Ashington Campus, Northumberland College - Kirkley Hall"
10004772,City College Norwich,52.618145,1.286295,CCN,http://www.ccn.ac.uk,UK,
10004775,Norwich University Of The Arts,52.630132,1.296698,NUA,http://www.nua.ac.uk,UK,
10004797,Nottingham Trent University,52.955763,-1.143457,NTU,http://www.ntu.ac.uk,UK,"Campuses: Confetti Institute of Creative Technologies, Brackenhurst Campus, Clifton Campus, City Campus"
10004835,Oaklands College,51.805158,-0.205081,OAKLANDS,http://www.oaklands.ac.uk,UK,"Campuses: Welwyn Garden City, St Albans"
10004927,Activate Learning,51.453967,-0.954818,OCVC,http://www.ocvc.ac.uk,UK,"Campuses: Reading College, City of Oxford College, Banbury and Bicester College, Banbury campus"
10004930,Oxford Brookes University,51.560652,-1.81741,BROOKES,http://www.brookes.ac.uk,UK,"Campuses: Swindon, Oxford"
10005032,Salford City College,53.515863,-2.396465,SALFORDCC,http://www.salfordcc.ac.uk,UK,"Campuses: Walkden Centre, Pendleton Centre, Future Skills"
10005072,Peter Symonds College,51.075378,-1.333885,PSC,http://www.psc.ac.uk/ac,UK,
10005077,Peterborough Regional College,52.586427,-0.229202,PETERBOROUGH,http://www.peterborough.ac.uk,UK,
10005124,Plumpton College,50.904729,-0.068981,PLUMPTON,http://www.plumpton.ac.uk,UK,
10005127,Plymouth College Of Art,50.373583,-4.137729,PLYMOUTHART,http://www.plymouthart.ac.uk,UK,
10005128,City College Plymouth,50.369301,-4.138666,CITYPLYM,http://www.cityplym.ac.uk,UK,"Campuses: Deep Blue Sound, Kings Road"
10005200,Preston's College,53.783881,-2.700494,PRESTON,http://www.preston.ac.uk,UK,
10005337,"Queen Margaret University, Edinburgh",55.930116,-3.07364,QMU,http://www.qmu.ac.uk,UK,"Campuses: Craighall, Edinburgh Napier"
10005343,Queen's University Belfast,54.58451,-5.93533,QUB,http://www.qub.ac.uk,UK,
10005389,Ravensbourne University London,51.501649,0.005606,RAVE,http://www.rave.ac.uk,UK,
10005404,Reaseheath College,53.083637,-2.521834,REASEHEATH,http://www.reaseheath.ac.uk,UK,
10005451,Arden University,51.509949,-0.074063,ARDEN,http://www.arden.ac.uk,UK,"Campuses: Tower Hill - East/Central London, Manchester Central, Holborn - Central London, Ealing - West London, Birmingham Central"
10005465,Richard Huish College,51.007,-3.091,HUISH,http://www.huish.ac.uk,UK,
10005469,Richmond Upon Thames College,51.451431,-0.342353,RUTC,http://www.rutc.ac.uk,UK,
10005470,"Richmond, The American International University in London",53.827442,-1.59326,RICHMOND,http://www.richmond.ac.uk,UK,"Campuses: Leeds, Richmond"
10005500,The Robert Gordon University,57.12005,-2.13662,RGU,http://www.rgu.ac.uk,UK,
10005523,Rose Bruford College Of Theatre And Performance,51.439004,0.106779,BRUFORD,http://www.bruford.ac.uk,UK,
10005534,Rnn Group,53.432652,-1.352859,ROTHERHAM,http://www.rotherham.ac.uk,UK,"Campuses: Rotherham Campus, Dinnington Campus, Worksop Campus, Retford Post 16 Centre, Dearne Valley Campus"
10005544,Royal Academy Of Dance,51.474782,-0.175053,,http://www.rad.org.uk,UK,
10005545,The Royal Agricultural University,51.679958,-0.057143,RAU,http://www.rau.ac.uk,UK,"Campuses: Capel Manor, Main Campus"
10005553,"Royal Holloway, University of London",51.425323,-0.567199,RHUL,http://www.rhul.ac.uk,UK,
10005561,Royal Conservatoire Of Scotland,55.866272,-4.257492,RCS,http://www.rcs.ac.uk,UK,
10005583,Ruskin College Oxford,51.766,1.215,RUSKIN,http://www.ruskin.ac.uk,UK,
10005669,Sandwell College,52.515086,-1.992087,SANDWELL,http://www.sandwell.ac.uk,UK,
10005700,Scotland's Rural College,55.921664,-3.177291,SRUC,http://www.sruc.ac.uk,UK,"Campuses: Edinburgh, Ayr, Aberdeen, Elmwood, Barony, Oatridge"
10005736,Seevic College,51.5626,0.5833,SEEVIC-COLLEGE,http://www.seevic-college.ac.uk,UK,
10005741,Selby College,53.775065,-1.051545,SELBY,http://www.selby.ac.uk,UK,"Campuses: Main Campus, Keepmoat Stadium"
10005788,"Sheffield College, The",53.405172,-1.489448,SHEFFCOL,http://www.sheffcol.ac.uk,UK,"Campuses: Hillsborough College, Sheffield City College"
10005790,Sheffield Hallam University,53.379194,-1.465255,SHU,http://www.shu.ac.uk,UK,"Campuses: City Campus, Collegiate Crescent Campus"
10005822,Shrewsbury Colleges Group,52.696862,-2.723657,SHREWSBURY,http://www.shrewsbury.ac.uk,UK,
10005916,Slough Borough Council,51.517962,-0.599437,,http://www.slough.gov.uk,UK,
10005946,Solihull College And University Centre,52.193127,-1.718007,SOLIHULL,http://www.solihull.ac.uk,UK,"Campuses: Stratford Upon Avon College, Woodlands, Blossomfield"
10005967,South & City College Birmingham,52.475472,-1.885748,SCCB,http://www.sccb.ac.uk,UK,"Campuses: Digbeth Campus, Bordesley Green Campus, Bournville College"
10005972,Cheshire College South And West,53.27989,-2.90874,S-CHESHIRE,http://www.s-cheshire.ac.uk,UK,"Campuses: Ellesmere Port Campus, Crewe Campus"
10005977,University Centre South Devon,50.414646,-3.587847,SOUTHDEVON,http://www.southdevon.ac.uk,UK,"Campuses: University Centre South Devon, South Devon Marine Academy"
10005979,Havant And South Downs College,50.861598,-1.021127,SOUTHDOWNS,http://www.southdowns.ac.uk,UK,
10005981,South Essex College Of Further And Higher Education,55.74327,-2.87,SOUTHESSEX,http://www.southessex.ac.uk,UK,"Campuses: Thurrock, Southend, High House Production Park,Purfleet"
10005998,The Trafford College Group,53.457498,-2.290515,TRAFFORD,http://www.trafford.ac.uk,UK,"Campuses: STEM Centre - Talbot Road, Altrincham Centre, Town Centre"
10005999,Tyne Coast College,55.007695,-1.460099,STC,http://www.stc.ac.uk/page/students-unio,UK,"Campuses: Queen Alexandra Sixth Form, Coast Road Campus, South Tyneside College"
10006020,Southampton City College,50.903432,-1.395121,SOUTHAMPTON-CITY,http://www.southampton-city.ac.uk,UK,
10006022,Solent University,50.907916,-1.400318,SOLENT,http://www.solent.ac.uk,UK,
10006038,Southport College,53.64822,-2.99774,SOUTHPORT-COLLEGE,http://www.southport-college.ac.uk,UK,
10006050,Sparsholt College,51.084756,-1.392444,SPARSHOLT,http://www.sparsholt.ac.uk,UK,
10006093,Spurgeon's College,51.406433,0.086228,SPURGEONS,http://www.spurgeons.ac.uk,UK,
10006174,St Helens College,53.452806,-2.738471,STHELENS,http://www.sthelens.ac.uk,UK,"Campuses: Town Centre Campus, STEM Centre"
10006226,St Mary's College,53.759,-2.487,STMARYSBLACKBURN,http://www.stmarysblackburn.ac.uk,UK,
10006243,St. Patrick's International College Limited,51.509939,-0.073607,ST-PATRICKS,http://www.st-patricks.ac.uk,UK,
10006299,Staffordshire University,53.492479,-2.075875,STAFFS,http://www.staffs.ac.uk,UK,"Campuses: Ashton Sixth Form College, South Staffordshire College - Rodbaston Site, South Staffordshire College - Lichfield Site, Liverpool Media Academy Limited, Institute for Children, Youth & Mission, Heart of Worcestershire College, The College of Osteopaths, Stoke on Trent Campus, Royal Shrewsbury Hospital Campus, Stafford Campus, Shrewsbury College, Oasis College, National Design Academy, Stoke on Trent Sixth Form College, Burton and South Derbyshire College, Newcastle-Under-Lyme-College, Stoke-on-Trent College, Stafford College, Eastwood Park Limited"
10006303,New College Stamford,52.658967,-0.471523,STAMFORD,http://www.stamford.ac.uk,UK,
10006322,Stephenson College,52.734063,-1.376821,STEPHENSONCOLL,http://www.stephensoncoll.ac.uk,UK,
10006378,Strode College,51.129806,-2.73347,STRODE-COLLEGE,http://www.strode-college.ac.uk,UK,
